Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'right': (255, 0, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'right': (255, 0, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'right': (0, 255, 0), 'left': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (128, 0, 128)","Order: {'right': (0, 255, 0), 'left': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'left': (0, 255, 0), 'right': (150, 75, 0)}",Time: 120
Experiment 1,Keypress: Right (P),Primed With: control group,"Appeared First: (150, 75, 0)","Order: {'left': (0, 255, 0), 'right': (150, 75, 0)}",Time: 120
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (255, 20, 147)","Order: {'left': (255, 0, 0), 'right': (255, 20, 147)}",Time: 300
Experiment 1,Keypress: Left (Q),Primed With: control group,"Appeared First: (255, 20, 147)","Order: {'left': (255, 0, 0), 'right': (255, 20, 147)}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: ,Primed With: control group,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: green,"Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: green,"Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: control group,Appeared First: yellow,"Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
2,Left (Q),control group,blue,"{'left': 'blue', 'right': 'yellow'}",10
2,Right (P),control group,blue,"{'left': 'blue', 'right': 'yellow'}",10
2,Left (Q),control group,blue,"{'left': 'blue', 'right': 'yellow'}",10
2,Left (Q),control group,red,"{'left': 'red', 'right': 'green'}",120
2,Left (Q),control group,green,"{'left': 'green', 'right': 'red'}",300
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: control group,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: skittles_green,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 10
Experiment 2,Keypress: Right (P),Primed With: skittles_green,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: skittles_green,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 10
