2,Right (P),skittles_green,red,"{'left': 'red', 'right': 'green'}",10
2,Right (P),skittles_red,green,"{'left': 'green', 'right': 'red'}",10
1,Right (P),"(255, 255, 0)","(0, 0, 255)","{'right': (255, 255, 0), 'left': (0, 0, 255)}",10
Experiment 2,Keypress: ,Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: pool_purple,"Appeared First: (0, 0, 0)","Order: {'left': 'black', 'right': 'purple'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: skittles_red,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'red'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: mnm_yellow,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'blue'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: hello_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 300
Experiment 1,Keypress: Left (Q),"Primed With: (255, 215, 0)","Appeared First: (150, 75, 0)","Order: {'left': (255, 215, 0), 'right': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 215, 0)","Appeared First: (150, 75, 0)","Order: {'right': (255, 215, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),"Primed With: (255, 215, 0)","Appeared First: (255, 20, 147)","Order: {'right': (255, 215, 0), 'left': (255, 20, 147)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 0, 0)","Appeared First: (128, 0, 128)","Order: {'right': (255, 0, 0), 'left': (128, 0, 128)}",Time: 120
Experiment 1,Keypress: Right (P),"Primed With: (255, 215, 0)","Appeared First: (150, 75, 0)","Order: {'left': (255, 215, 0), 'right': (150, 75, 0)}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'right': 'green', 'left': 'orange'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'right': 'black', 'left': 'purple'}",Time: 0
